PWM_1000,PWM_1050,PWM_1100,PWM_1150,PWM_1200,PWM_1250,PWM_1300,PWM_1350,PWM_1400,PWM_1450,PWM_1500,PWM_1550,PWM_1600,PWM_1650,PWM_1700,PWM_1750,PWM_1800,PWM_1850,PWM_1900,PWM_1950,PWM_2000
-0.033,0.042,0.1115,0.1885,0.261,0.352,0.433,0.5115,0.5905,0.6405,0.6705,0.7205,0.7575,0.7295,0.7565,0.7655,0.762,0.777,0.7395,0.7055,0.6815
-0.0259999999999998,0.046,0.1185,0.191,0.267,0.36,0.436,0.5135,0.585,0.6495,0.687,0.7515,0.8045,0.8,0.826,0.855,0.8565,0.8515,0.8235,0.788,0.7505
-0.0215,0.051,0.1185,0.19,0.273,0.3625,0.434,0.5185,0.5895,0.6545,0.701,0.7655,0.8235,0.8665,0.912,0.952,0.9415,0.9585,0.919,0.863,0.8165
-0.025,0.0465,0.125,0.1965,0.2725,0.3615,0.442,0.518,0.594,0.655,0.7045,0.761,0.8365,0.8985,0.98,1.0475,1.0385,1.0765,1.0245,0.9705,0.926
-0.0295,0.049,0.122,0.2,0.276,0.359,0.4415,0.5185,0.592,0.661,0.712,0.7625,0.8375,0.9075,0.989,1.0915,1.155,1.1715,1.142,1.0965,1.061
-0.0305,0.059,0.1215,0.1975,0.2795,0.359,0.433,0.5245,0.585,0.652,0.704,0.7815,0.836,0.9155,0.993,1.1075,1.196,1.256,1.2445,1.202,1.164
-0.018,0.051,0.1315,0.201,0.2715,0.3655,0.442,0.521,0.588,0.653,0.706,0.7645,0.8405,0.917,0.997,1.1255,1.2175,1.312,1.3625,1.3005,1.2525
-0.0285,0.0515,0.126,0.1995,0.2795,0.361,0.4395,0.5165,0.595,0.6665,0.702,0.759,0.8405,0.9155,0.994,1.1165,1.2175,1.3225,1.4415,1.428,1.382
-0.0355,0.0555,0.1215,0.199,0.2815,0.358,0.4415,0.517,0.59,0.658,0.701,0.7635,0.8395,0.91,0.9915,1.1105,1.211,1.314,1.4585,1.514,1.5255
-0.029,0.0565,0.1205,0.2275,0.2715,0.3645,0.4315,0.5215,0.594,0.652,0.7075,0.776,0.8405,0.911,1.003,1.1185,1.2245,1.312,1.4495,1.5245,1.564
-0.0205,0.0555,0.1285,0.217,0.284,0.3615,0.433,0.516,0.5985,0.6655,0.7045,0.76,0.8385,0.914,1.0075,1.114,1.2285,1.3155,1.457,1.5185,1.561
-0.025,0.06,0.1385,0.1865,0.2825,0.3575,0.4465,0.516,0.595,0.655,0.7065,0.761,0.846,0.9215,0.991,1.112,1.2155,1.3295,1.454,1.5285,1.5905
-0.033,0.0545,0.1225,0.193,0.266,0.3625,0.428,0.5125,0.5965,0.6535,0.7055,0.7685,0.8435,0.9125,0.995,1.106,1.2155,1.316,1.4685,1.525,1.6035
-0.0235,0.058,0.1225,0.1955,0.2875,0.361,0.433,0.518,0.596,0.661,0.6975,0.777,0.8395,0.9105,0.994,1.1075,1.223,1.313,1.447,1.5155,1.5775
-0.022,0.058,0.1315,0.1975,0.2875,0.362,0.4365,0.516,0.595,0.6575,0.703,0.762,0.837,0.935,0.987,1.104,1.221,1.319,1.448,1.507,1.571
-0.0285,0.0565,0.1355,0.209,0.268,0.365,0.438,0.507,0.5925,0.6485,0.706,0.761,0.8485,0.9205,0.996,1.1005,1.2145,1.3265,1.4605,1.5205,1.5935
-0.026,0.0585,0.1255,0.179,0.2715,0.3675,0.4405,0.512,0.5915,0.66,0.7035,0.774,0.8455,0.9075,0.9965,1.105,1.205,1.321,1.4655,1.5255,1.593
-0.0175,0.058,0.1195,0.1775,0.2855,0.36,0.424,0.5195,0.592,0.6645,0.7,0.775,0.8335,0.921,1.004,1.1025,1.2215,1.3165,1.4475,1.5175,1.566
-0.033,0.057,0.13,0.2125,0.2815,0.3635,0.4385,0.52,0.588,0.645,0.7095,0.751,0.8405,0.9255,1.001,1.103,1.2355,1.3245,1.4615,1.514,1.581
-0.026,0.0625,0.1385,0.195,0.2715,0.366,0.442,0.506,0.5925,0.649,0.7065,0.769,0.843,0.9275,0.987,1.103,1.2075,1.3365,1.464,1.529,1.593
-0.0225,0.059,0.1235,0.1835,0.278,0.3635,0.4345,0.5125,0.587,0.66,0.704,0.7785,0.8395,0.927,1.001,1.112,1.2085,1.3415,1.453,1.518,1.5695
-0.0225,0.052,0.118,0.197,0.281,0.3645,0.432,0.5195,0.5875,0.6555,0.702,0.768,0.837,0.921,0.9965,1.096,1.2315,1.3175,1.4505,1.5035,1.5845
