tiempo_s,angulo_sim_deg,error_sim_deg,pwm_sim,angulo_real_deg,error_real_deg,pwm_real
0.000,nan,nan,nan,-0.6,0.6,1321.738330247909
0.064,nan,nan,nan,-0.6,0.6,1321.6131630279338
0.126,nan,nan,nan,-0.6,0.6,1321.5009277548525
0.189,nan,nan,nan,-2.25,2.25,1326.432959651225
0.252,nan,nan,nan,-6.75,6.75,1339.5661889832745
0.381,nan,nan,nan,-13.8,13.8,1359.169283673854
0.445,nan,nan,nan,-23.7,23.7,1385.5165732500923
0.508,nan,nan,nan,-35.85,35.85,1416.1122124667436
0.635,nan,nan,nan,-49.65,49.65,1448.7116837504316
0.687,nan,nan,nan,-45.75,45.75,1424.1063969505985
0.760,nan,nan,nan,-38.4,38.4,1391.4778291996429
0.824,nan,nan,nan,-33.3,33.3,1369.0030298084216
0.951,nan,nan,nan,-30.75,30.75,1356.5725522517423
0.999,nan,nan,nan,-31.05,31.05,1354.0914977432808
1.125,nan,nan,nan,-33.75,33.75,1359.1904382962357
1.189,nan,nan,nan,-38.55,38.55,1370.1973454641018
1.252,nan,nan,nan,-45.15,45.15,1385.6096615857364
1.317,nan,nan,nan,-51.0,51.0,1397.2140628461425
1.447,nan,nan,nan,-46.65,46.65,1376.5723221264468
1.507,nan,nan,nan,-44.4,44.4,1364.4212401094874
1.571,nan,nan,nan,-43.95,43.95,1358.9914753314386
1.635,nan,nan,nan,-45.15,45.15,1359.1507191164562
1.762,nan,nan,nan,-48.0,48.0,1364.3395178842584
1.816,nan,nan,nan,-50.4,50.4,1367.6509917844978
1.889,nan,nan,nan,-49.05,49.05,1359.2088641570467
2.000,nan,nan,nan,-49.35,49.35,1356.6572219030593
2.064,nan,nan,nan,-50.55,50.55,1357.1178914967952
2.128,nan,nan,nan,-49.8,49.8,1351.5966693441176
2.256,nan,nan,nan,-50.4,50.4,1350.7557079660737
2.320,nan,nan,nan,-50.4,50.4,1348.1784722457485
2.385,nan,nan,nan,-50.4,50.4,1345.8678889311714
2.448,nan,nan,nan,-50.4,50.4,1343.796420939727
2.576,nan,nan,nan,-50.4,50.4,1341.9393749318263
2.624,nan,nan,nan,-50.4,50.4,1340.2746076387489
2.749,nan,nan,nan,-50.4,50.4,1338.7822625178915
2.813,nan,nan,nan,-50.4,50.4,1337.4445336035146
2.877,nan,nan,nan,-50.4,50.4,1336.2454537445271
2.940,nan,nan,nan,-50.4,50.4,1335.1707047108648
3.069,nan,nan,nan,-50.4,50.4,1334.207446910104
3.132,nan,nan,nan,-50.4,50.4,1333.3441666891706
3.196,nan,nan,nan,-50.4,50.4,1332.570539405136
3.260,nan,nan,nan,-50.4,50.4,1331.8773066366368
3.388,nan,nan,nan,-50.4,50.4,1331.2561660756182
3.452,nan,nan,nan,-50.4,50.4,1330.699672789912
3.564,nan,nan,nan,-50.4,50.4,1330.201150682387
3.628,nan,nan,nan,-50.4,50.4,1329.7546130936748
3.692,nan,nan,nan,-50.4,50.4,1329.3546916042217
3.755,nan,nan,nan,-50.4,50.4,1328.9965721889191
3.882,nan,nan,nan,-50.4,50.4,1328.6759379650214
3.946,nan,nan,nan,-50.4,50.4,1328.3889178524628
4.010,nan,nan,nan,-50.4,50.4,1328.1320405359988
